"","id","num_ronda","bucket_inici_ronda","bucket_final_ronda","temps_inici_ronda","temps_final_ronda","partida_id","calculada"
"149",163,3,88,78,"2015-12-23 18:42:41","2015-12-23 18:42:49",18,1
"150",164,4,78,66,"2015-12-23 18:43:04","2015-12-23 18:43:10",18,1
"151",165,5,66,48,"2015-12-23 18:43:25","2015-12-23 18:43:31",18,1
"152",166,6,48,32,"2015-12-23 18:43:46","2015-12-23 18:43:51",18,1
"153",167,7,32,14,"2015-12-23 18:44:06","2015-12-23 18:44:14",18,1
"154",168,8,14,4,"2015-12-23 18:44:29","2015-12-23 18:44:33",18,1
"155",169,9,4,-2,"2015-12-23 18:44:48","2015-12-23 18:44:54",18,1
"156",171,1,120,104,"2015-12-23 19:12:55","2015-12-23 19:13:09",19,1
"157",172,2,104,90,"2015-12-23 19:13:24","2015-12-23 19:13:35",19,1
"158",173,3,90,70,"2015-12-23 19:13:50","2015-12-23 19:14:13",19,1
"159",174,4,70,52,"2015-12-23 19:14:28","2015-12-23 19:14:37",19,1
"160",175,5,52,32,"2015-12-23 19:14:52","2015-12-23 19:15:06",19,1
"161",176,6,32,14,"2015-12-23 19:15:21","2015-12-23 19:15:28",19,1
"162",177,7,14,0,"2015-12-23 19:15:43","2015-12-23 19:15:51",19,1
