"","user_id","nickname","codi_postal","genere","rang_edat","nivell_estudis","prfinal0","prfinal1","prfinal2","prfinal3","prfinal4","prfinal5","prfinal6","prfinal7","prfinal8","prfinal9","prfinal10","prfinal11","prfinal12","prfinal13","data_creacio","data_finalitzacio","acabat","data_registre","diners_inicials","diners_actuals","check_1","check_2","check_3","partida_id","is_robot","num_jugador","prfinal14","prfinal15","guany_final","num_seleccions","sorteig"
"67",100,"2profesenapuros",8901,"d",27,"r6",NA,"r1","r1","r2","r4","r2","r1","r1","r1","r1","r2","r3","r3","r2","2015-12-12 15:49:10.853672","2015-12-12 15:59:57.115949",1,"2015-12-12 15:50:50.400069",40,15,"true","false","false",17,0,2,"r3","r2",15,10,1
"68",101,"2 profesé apuros",8013,"d",27,"r6",NA,"r1","r2","r2","r2","r3","r3","r3","r1","r1","r2","r1","r1","r3","2015-12-12 15:50:07.149678","2015-12-12 16:00:10.909250",1,"2015-12-12 15:52:36.013531",40,20,"true","false","false",17,0,1,"r2","r3",20,10,1
"69",102,"Nuitdorage ",8011,"h",26,"r6",NA,"r1","r2","r2","r3","r3","r1","r1","r1","r1","r2","r3","r3","r2","2015-12-12 15:50:33.668232","2015-12-12 16:00:42.899161",1,"2015-12-12 15:53:21.021334",40,15,"true","false","false",17,0,5,"r1","r4",15,10,1
"70",104,"Tortugas",8011,"h",25,"r6",NA,"r1","r2","r3","r2","r1","r1","r1","r1","r2","r2","r3","r3","r3","2015-12-12 15:51:09.628454","2015-12-12 16:01:04.999493",1,"2015-12-12 15:53:26.906924",40,20,"true","false","false",17,0,6,"r2","r4",20,10,1
"73",110,"Servenfe ",8026,"h",27,"r6",NA,"r1","r1","r4","r3","r3","r1","r1","r2","r2","r2","r3","r3","r2","2015-12-12 16:08:03.320687","2015-12-12 16:39:04.328944",1,"2015-12-12 16:10:12.170710",40,30,"true","false","true",19,0,6,"r1","r2",30,10,1
"74",111,"Barrufa ",8397,"d",37,"r6",NA,"r1","r1","r1","r2","r3","r1","r1","r2","r3","r2","r3","r3","r2","2015-12-12 16:09:17.843922","2015-12-12 16:39:30.324728",1,"2015-12-12 16:12:44.160902",40,20,"true","false","false",19,0,3,"r3","r2",20,10,1
"75",112,"Isla acá",8397,"h",42,"r4",NA,"r1","r1","r1","r1","r1","r1","r2","r1","r1","r2","r3","r3","r2","2015-12-12 16:09:57.784093","2015-12-12 16:40:55.046667",1,"2015-12-12 16:12:18.936726",40,20,"true","false","false",19,0,4,"r3","r4",20,10,1
"76",113,"Mami",31007,"d",26,"r6",NA,"r1","r2","r1","r2","r2","r1","r1","r3","r1","r2","r1","r3","r2","2015-12-12 16:23:24.992600","2015-12-12 16:40:13.470950",1,"2015-12-12 16:26:32.790792",40,22,"true","false","false",19,0,1,"r1","r4",22,10,1
"77",114,"Runa",8012,"d",28,"r6",NA,"r1","r2","r2","r3","r3","r1","r1","r2","r3","r2","r3","r3","r2","2015-12-12 16:26:31.649333","2015-12-12 16:41:13.399548",1,"2015-12-12 16:31:59.419705",40,11,"true","false","false",19,0,5,"r1","r4",11,10,1
"78",115,"Pinki ",8023,"h",51,"r4",NA,"r1","r2","r2","r2","r3","r1","r1","r2","r2","r2","r1","r3","r2","2015-12-12 16:27:38.595557","2015-12-12 16:40:50.200322",1,"2015-12-12 16:30:00.595596",40,13,"true","false","false",19,0,2,"r1","r4",13,10,1
