"user_id","nickname","codi_postal","genere","rang_edat","nivell_estudis","prfinal0","prfinal1","prfinal2","prfinal3","prfinal4","prfinal5","prfinal6","prfinal7","prfinal8","prfinal9","prfinal10","prfinal11","prfinal12","prfinal13","data_creacio","data_finalitzacio","acabat","data_registre","diners_inicials","diners_actuals","check_1","check_2","check_3","partida_id","is_robot","num_jugador","prfinal14","prfinal15","guany_final","num_seleccions","sorteig"
57,"Chivara","08030","h",12,"r3","","r1","r2","r1","r3","r3","r1","r1","r3","r2","r2","r3","r3","r4","2015-12-12 12:35:02.574329","2015-12-12 12:54:44.808302",1,"2015-12-12 12:38:11.928772",20,4,"true","false","true",10,0,1,"r2","r2",4,10,1
58,"Andrewinski","08030","h",12,"r2","","r1","r1","r1","r3","r3","r1","r1","r1","r1","r2","r3","r1","r3","2015-12-12 12:35:35.791319","2015-12-12 12:55:56.936520",1,"2015-12-12 12:38:09.948316",40,20,"true","false","false",10,0,3,"r2","r4",20,10,1
59,"Land of Rivals","08019","h",26,"r6","","r2","r2","r1","r3","r3","r1","r1","r2","r2","r2","r3","r3","r2","2015-12-12 12:41:34.254662","2015-12-12 12:54:37.676217",1,"2015-12-12 12:45:15.345506",50,14,"true","false","false",10,0,4,"r1","r4",14,10,1
60,"Silver","08003","d",22,"r5","","r1","r2","r2","r3","r3","r3","r1","r1","r1","r2","r3","r3","r2","2015-12-12 12:42:07.382324","2015-12-12 12:54:13.428431",1,"2015-12-12 12:45:10.220322",40,30,"true","false","false",10,0,5,"r2","r3",30,10,1
61,"Mirscat","08030","d",25,"r6","","r3","r1","r2","r3","r3","r1","r1","r2","r2","r2","r4","r3","r1","2015-12-12 12:44:29.958790","2015-12-12 13:08:43.876514",1,"2015-12-12 12:54:27.539653",40,23,"true","false","false",11,0,4,"r2","r4",23,10,1
62,"Hipidos","08030","h",29,"r5","","r1","r2","r1","r3","r3","r1","r1","r2","r1","r2","r3","r3","r2","2015-12-12 12:44:37.740781","2015-12-12 12:54:30.487840",1,"2015-12-12 12:47:11.656173",30,16,"true","false","true",10,0,6,"r1","r3",16,10,1
63,"Olesa23","08292","h",47,"r4","","r1","r1","r2","r3","r3","r1","r1","r1","r1","r2","r1","r3","r2","2015-12-12 12:51:00.613479","2015-12-12 13:07:35.776268",1,"2015-12-12 12:54:07.111712",40,25,"true","false","false",11,0,3,"r3","r2",25,10,1
64,"Ainaratg03","08291","d",12,"r3","","r1","r1","r2","r1","r1","r3","r1","r1","r1","r2","r1","r1","r2","2015-12-12 12:53:24.092451","2015-12-12 13:08:41.464661",1,"2015-12-12 12:57:39.292591",40,21,"true","false","false",11,0,2,"r3","r4",21,10,1
65,"Jugases","08291","d",42,"r6","","r1","r1","r2","r3","r1","r3","r1","r3","r1","r2","r3","r3","r2","2015-12-12 12:54:20.799263","2015-12-12 13:08:55.519613",1,"2015-12-12 12:57:44.850527",40,19,"true","false","false",11,0,5,"r2","r2",19,10,1
66,"Ariana","08291","h",42,"r4","","r1","r1","r2","r2","r1","r3","r1","r1","r1","r2","r3","r3","r2","2015-12-12 12:54:43.394527","2015-12-12 13:09:10.297669",1,"2015-12-12 12:57:37.387683",40,20,"true","false","false",11,0,6,"r1","r1",20,10,1
67,"A leído","46120","h",41,"r6","","r1","r2","r1","r2","r1","r1","r3","r1","r3","r2","r1","r3","r2","2015-12-12 12:59:11.386872","2015-12-12 13:07:37.073375",1,"2015-12-12 13:00:59.971217",40,9,"true","false","false",11,0,1,"r3","r1",9,10,1
68,"Triqueta90","08014","d",25,"r5","","r1","r1","r2","r3","r3","r1","r1","r1","r2","r2","r3","r3","r3","2015-12-12 13:04:54.953184","2015-12-12 13:19:49.835462",1,"2015-12-12 13:11:51.992927",40,25,"true","false","false",12,0,4,"r2","r4",25,10,1
69,"Andrea tb","08024","d",25,"r6","","r1","r1","r1","r3","r3","r2","r1","r1","r3","r2","r3","r3","r2","2015-12-12 13:05:59.448830","2015-12-12 13:19:41.359408",1,"2015-12-12 13:09:41.557543",20,4,"true","false","false",12,0,6,"r1","r3",4,10,1
70,"Marimax","08024","d",12,"r2","","r1","r1","r1","r3","r3","r1","r1","r2","r1","r2","r3","r3","r3","2015-12-12 13:06:33.828983","2015-12-12 13:22:18.988911",1,"2015-12-12 13:11:37.607343",50,15,"true","false","false",12,0,1,"r2","r2",15,10,1
71,"Annagarlor","08023","h",26,"r6","","r1","r1","r1","r2","r3","r2","r1","r1","r2","r2","r3","r3","r2","2015-12-12 13:06:40.953452","2015-12-12 13:20:22.611628",1,"2015-12-12 13:09:00.624634",40,16,"true","false","false",12,0,5,"r1","r4",16,10,1
72,"Hektorzito","08003","h",27,"r5","","r3","r1","r1","r2","r2","r2","r1","r2","r3","r2","r3","r3","r2","2015-12-12 13:07:27.281111","2015-12-12 13:21:03.603432",1,"2015-12-12 13:11:25.666743",60,32,"true","false","false",12,0,2,"r1","r2",32,10,1
73,"Marc_pf","08025","h",25,"r6","","r1","r1","r1","r3","r2","r3","r1","r2","r3","r2","r1","r3","r1","2015-12-12 13:09:38.965986","2015-12-12 13:22:57.989090",1,"2015-12-12 13:11:44.273287",30,15,"true","false","false",12,0,3,"r2","r3",15,10,1
74,"Sapphire","08100","d",27,"r6","","r1","r1","r1","r3","r3","r2","r2","r1","r3","r2","r3","r3","r2","2015-12-12 15:18:02.720388","2015-12-12 15:35:18.813819",1,"2015-12-12 15:23:40.159248",40,20,"true","false","false",13,0,1,"r1","r2",20,10,1
75,"Rucen ","08100","h",30,"r6","","r2","r1","r1","r2","r2","r1","r2","r1","r2","r2","r3","r2","r2","2015-12-12 15:18:39.173950","2015-12-12 15:36:14.884087",1,"2015-12-12 15:23:58.835412",40,20,"true","false","false",13,0,4,"r1","r3",20,10,1
76,"Ender","08100","h",32,"r5","","r1","r2","r2","r3","r2","r1","r1","r1","r2","r2","r3","r3","r2","2015-12-12 15:19:26.921397","2015-12-12 15:37:15.487010",1,"2015-12-12 15:25:00.735841",40,25,"true","false","false",13,0,5,"r1","r1",25,10,1
77,"Fantasma 2710","08921","h",43,"r5","","r1","r2","r2","r3","r3","r2","r2","r1","r2","r2","r1","r3","r2","2015-12-12 15:22:49.198089","2015-12-12 15:37:49.178648",1,"2015-12-12 15:26:37.060542",40,7,"true","false","false",13,0,3,"r3","r2",7,10,1
78,"MikeBCN","08003","h",40,"r6","","r1","r2","r4","r3","r3","r1","r1","r2","r2","r2","r3","r3","r2","2015-12-12 15:23:47.638813","2015-12-12 15:35:43.663605",1,"2015-12-12 15:26:06.345001",40,18,"true","false","false",13,0,6,"r1","r3",18,10,1
79,"Mate","08041","h",55,"r6","","r3","r1","r2","r2","r2","r3","r1","r1","r2","r2","r3","r3","r2","2015-12-12 15:27:31.576763","2015-12-12 15:35:19.099233",1,"2015-12-12 15:29:18.277685",40,21,"true","false","false",13,0,2,"r1","r3",21,10,1
80,"Berta","08041","d",13,"r3","","r3","r1","r2","r3","r3","r1","r1","r1","r1","r2","r3","r3","r2","2015-12-12 15:27:35.388503","2015-12-12 15:45:07.927020",1,"2015-12-12 15:32:18.694793",60,34,"true","false","false",14,0,1,"r3","r3",34,10,1
81,"Pepita","08041","d",49,"r6","","r1","r1","r2","r3","r3","r3","r1","r1","r1","r2","r3","r3","r2","2015-12-12 15:28:13.578078","2015-12-12 15:46:33.734627",1,"2015-12-12 15:32:29.530213",20,11,"true","false","false",14,0,6,"r1","r3",11,10,1
82,"Mane lateros","08924","h",13,"r2","","r1","r1","r2","r2","r2","r1","r1","r1","r1","r2","r4","r3","r4","2015-12-12 15:34:09.482500","2015-12-12 15:47:03.200451",1,"2015-12-12 15:35:36.514570",40,22,"true","false","false",14,0,2,"r1","r2",22,10,1
83,"Th","80603","h",14,"r3","","r1","r1","r4","r2","r1","r1","r3","r2","r1","r1","r3","r3","r1","2015-12-12 15:36:18.603003","2015-12-12 15:45:47.434808",1,"2015-12-12 15:38:23.780314",30,1,"true","false","false",14,0,3,"r1","r4",1,10,1
84,"Mazuf ","08024","h",39,"r6","","r1","r2","r2","r1","r1","r1","r1","r1","r1","r2","r3","r3","r2","2015-12-12 15:36:25.430553","2015-12-12 15:50:12.127626",1,"2015-12-12 15:40:43.349402",40,16,"true","false","false",15,0,4,"r2","r3",16,10,1
85,"Th","80603","h",15,"r3","","r1","r2","r2","r2","r2","r2","r2","r3","r3","r2","r3","r1","r4","2015-12-12 15:36:28.237658","2015-12-12 15:48:44.369407",1,"2015-12-12 15:38:45.625290",50,24,"true","false","false",14,0,5,"r3","r3",24,10,1
