"id","num_ronda","bucket_inici_ronda","bucket_final_ronda","temps_inici_ronda","temps_final_ronda","partida_id","calculada"
254,4,75,59,"2015-12-12 17:44:21.267652","2015-12-12 17:44:38.751936",26,1
255,5,59,48,"2015-12-12 17:44:53.751936","2015-12-12 17:44:59.731331",26,1
256,6,48,38,"2015-12-12 17:45:14.731331","2015-12-12 17:45:20.206318",26,1
257,7,38,21,"2015-12-12 17:45:35.206318","2015-12-12 17:45:41.974081",26,1
258,8,21,5,"2015-12-12 17:45:56.974081","2015-12-12 17:46:06.084785",26,1
259,9,5,1,"2015-12-12 17:46:21.084785","2015-12-12 17:46:28.975261",26,1
260,10,1,-5,"2015-12-12 17:46:43.975261","2015-12-12 17:46:52.591746",26,1
261,1,120,104,"2015-12-12 17:50:09.077064","2015-12-12 17:50:15.938484",27,1
262,2,104,90,"2015-12-12 17:50:30.938484","2015-12-12 17:50:36.131715",27,1
263,3,90,74,"2015-12-12 17:50:51.131715","2015-12-12 17:51:04.742198",27,1
264,4,74,57,"2015-12-12 17:51:19.742198","2015-12-12 17:51:26.402539",27,1
265,5,57,45,"2015-12-12 17:51:41.402539","2015-12-12 17:52:00.334021",27,1
266,6,45,28,"2015-12-12 17:52:15.334021","2015-12-12 17:52:21.683201",27,1
267,7,28,15,"2015-12-12 17:52:36.683201","2015-12-12 17:52:42.484633",27,1
268,8,15,-3,"2015-12-12 17:52:57.484633","2015-12-12 17:53:01.807624",27,1
269,9,-3,-13,"2015-12-12 17:53:16.807624","2015-12-12 17:53:22.249485",27,1
270,10,-13,-24,"2015-12-12 17:53:37.249485","2015-12-12 17:53:45.806359",27,1
271,1,120,106,"2015-12-12 18:05:43.066252","2015-12-12 18:05:50.843498",28,1
272,2,106,90,"2015-12-12 18:06:05.843498","2015-12-12 18:06:11.803144",28,1
273,3,90,72,"2015-12-12 18:06:26.803144","2015-12-12 18:06:35.189095",28,1
274,4,72,52,"2015-12-12 18:06:50.189095","2015-12-12 18:06:54.075430",28,1
275,5,52,34,"2015-12-12 18:07:09.075430","2015-12-12 18:07:14.192691",28,1
276,6,34,19,"2015-12-12 18:07:29.192691","2015-12-12 18:07:34.330342",28,1
277,7,19,5,"2015-12-12 18:07:49.330342","2015-12-12 18:07:54.779750",28,1
278,8,5,-2,"2015-12-12 18:08:09.779750","2015-12-12 18:08:13.137082",28,1
279,9,-2,-6,"2015-12-12 18:08:28.137082","2015-12-12 18:08:33.950084",28,1
280,10,-6,-7,"2015-12-12 18:08:48.950084","2015-12-12 18:08:51.250164",28,1
281,1,120,103,"2015-12-12 18:09:01.461432","2015-12-12 18:09:12.895474",29,1
282,2,103,85,"2015-12-12 18:09:27.895474","2015-12-12 18:09:37.213389",29,1
283,3,85,70,"2015-12-12 18:09:52.213389","2015-12-12 18:10:01.370256",29,1
284,4,70,54,"2015-12-12 18:10:16.370256","2015-12-12 18:10:24.001377",29,1
285,5,54,38,"2015-12-12 18:10:39.001377","2015-12-12 18:10:43.535000",29,1
286,6,38,21,"2015-12-12 18:10:58.535000","2015-12-12 18:11:02.066842",29,1
287,7,21,3,"2015-12-12 18:11:17.066842","2015-12-12 18:11:20.785662",29,1
288,8,3,-3,"2015-12-12 18:11:35.785662","2015-12-12 18:11:45.599865",29,1
289,9,-3,-4,"2015-12-12 18:12:00.599865","2015-12-12 18:12:04.285579",29,1
290,10,-4,-4,"2015-12-12 18:12:19.285579","2015-12-12 18:12:23.630862",29,1
291,1,120,102,"2015-12-13 10:06:23.844629","2015-12-13 10:06:30.325855",30,1
292,2,102,86,"2015-12-13 10:06:45.325855","2015-12-13 10:06:55.758273",30,1
293,3,86,68,"2015-12-13 10:07:10.758273","2015-12-13 10:07:18.412229",30,1
294,4,68,48,"2015-12-13 10:07:33.412229","2015-12-13 10:07:41.383018",30,1
295,5,48,30,"2015-12-13 10:07:56.383018","2015-12-13 10:08:00.492036",30,1
296,6,30,12,"2015-12-13 10:08:15.492036","2015-12-13 10:08:20.522809",30,1
297,7,12,0,"2015-12-13 10:08:35.522809","2015-12-13 10:08:39.049143",30,1
298,8,0,-8,"2015-12-13 10:08:54.049143","2015-12-13 10:09:01.690937",30,1
299,9,-8,-10,"2015-12-13 10:09:16.690937","2015-12-13 10:09:19.784990",30,1
300,10,-10,-12,"2015-12-13 10:09:34.784990","2015-12-13 10:09:38.076236",30,1
301,1,120,104,"2015-12-13 10:20:50.537934","2015-12-13 10:20:59.272314",31,1
302,2,104,86,"2015-12-13 10:21:14.272314","2015-12-13 10:21:21.275568",31,1
303,3,86,70,"2015-12-13 10:21:36.275568","2015-12-13 10:21:46.538123",31,1
