"id","ha_seleccionat","seleccio","temps_seleccio","ronda_id","user_id"
383,1,3,"2015-12-12 12:10:18.318325",64,42
384,1,2,"2015-12-12 12:10:15.749480",64,43
385,1,3,"2015-12-12 12:10:36.506929",65,36
386,1,4,"2015-12-12 12:10:35.710779",65,38
387,1,0,"2015-12-12 12:10:38.748465",65,40
388,1,3,"2015-12-12 12:10:40.622558",65,41
389,1,2,"2015-12-12 12:10:49.361922",65,42
390,1,1,"2015-12-12 12:10:41.445910",65,43
391,1,1,"2015-12-12 12:11:05.815106",66,36
392,1,4,"2015-12-12 12:11:05.749243",66,38
393,1,0,"2015-12-12 12:11:06.358435",66,40
394,1,2,"2015-12-12 12:11:06.187065",66,41
395,1,3,"2015-12-12 12:11:14.680216",66,42
396,1,0,"2015-12-12 12:11:05.464514",66,43
397,1,1,"2015-12-12 12:11:32.031928",67,36
398,1,3,"2015-12-12 12:11:31.073619",67,38
399,1,3,"2015-12-12 12:11:32.325685",67,40
400,1,2,"2015-12-12 12:11:33.560960",67,41
401,1,2,"2015-12-12 12:11:36.986107",67,42
402,1,3,"2015-12-12 12:11:33.845278",67,43
403,1,2,"2015-12-12 12:11:53.528691",68,36
404,1,2,"2015-12-12 12:11:53.851425",68,38
405,1,2,"2015-12-12 12:11:54.980967",68,40
406,1,3,"2015-12-12 12:11:55.503566",68,41
407,1,1,"2015-12-12 12:11:56.101656",68,42
408,1,3,"2015-12-12 12:11:53.879286",68,43
409,1,4,"2015-12-12 12:12:24.218431",69,36
410,1,2,"2015-12-12 12:12:13.272829",69,38
411,1,0,"2015-12-12 12:12:13.187331",69,40
412,1,2,"2015-12-12 12:12:15.089158",69,41
413,1,2,"2015-12-12 12:12:19.645866",69,42
414,1,2,"2015-12-12 12:12:16.680626",69,43
415,1,0,"2015-12-12 12:12:41.241186",70,36
416,1,1,"2015-12-12 12:12:41.570667",70,38
417,1,0,"2015-12-12 12:12:40.737850",70,40
418,1,1,"2015-12-12 12:12:42.185702",70,41
419,1,0,"2015-12-12 12:12:45.949154",70,42
420,1,0,"2015-12-12 12:12:41.056544",70,43
421,1,2,"2015-12-12 12:27:18.956784",71,44
422,1,0,"2015-12-12 12:27:23.996625",71,45
423,1,4,"2015-12-12 12:27:17.255874",71,46
424,1,1,"2015-12-12 12:27:25.309800",71,47
425,1,4,"2015-12-12 12:27:20.729200",71,48
426,1,3,"2015-12-12 12:27:19.226195",71,49
427,1,2,"2015-12-12 12:27:46.393666",72,44
428,1,1,"2015-12-12 12:27:47.801227",72,45
429,1,4,"2015-12-12 12:27:45.822448",72,46
430,1,1,"2015-12-12 12:27:47.706991",72,47
431,1,2,"2015-12-12 12:27:46.907741",72,48
432,1,4,"2015-12-12 12:27:43.363914",72,49
433,1,2,"2015-12-12 12:28:07.265877",73,44
434,1,2,"2015-12-12 12:28:07.120838",73,45
435,1,4,"2015-12-12 12:28:05.030323",73,46
436,1,1,"2015-12-12 12:28:06.838056",73,47
437,1,2,"2015-12-12 12:28:06.078844",73,48
438,1,4,"2015-12-12 12:28:05.332625",73,49
439,1,2,"2015-12-12 12:28:25.193820",74,44
440,1,3,"2015-12-12 12:28:27.397281",74,45
441,1,4,"2015-12-12 12:28:25.113547",74,46
442,1,2,"2015-12-12 12:28:24.943613",74,47
443,1,3,"2015-12-12 12:28:30.372021",74,48
444,1,3,"2015-12-12 12:28:24.969874",74,49
445,1,2,"2015-12-12 12:28:48.255054",75,44
446,1,4,"2015-12-12 12:28:49.853919",75,45
447,1,4,"2015-12-12 12:28:47.302536",75,46
448,1,1,"2015-12-12 12:28:49.484429",75,47
449,1,4,"2015-12-12 12:28:51.096529",75,48
450,1,4,"2015-12-12 12:28:49.772274",75,49
451,1,1,"2015-12-12 12:29:09.451286",76,44
452,1,0,"2015-12-12 12:29:10.590837",76,45
453,1,4,"2015-12-12 12:29:08.135467",76,46
454,1,1,"2015-12-12 12:29:14.667089",76,47
455,1,2,"2015-12-12 12:29:11.616502",76,48
456,1,3,"2015-12-12 12:29:10.195546",76,49
457,1,1,"2015-12-12 12:29:33.184052",77,44
458,1,1,"2015-12-12 12:29:32.577030",77,45
459,1,4,"2015-12-12 12:29:31.208905",77,46
460,1,0,"2015-12-12 12:29:33.726549",77,47
461,1,4,"2015-12-12 12:29:37.770228",77,48
462,1,3,"2015-12-12 12:29:33.329776",77,49
463,1,2,"2015-12-12 12:29:55.607333",78,44
464,1,2,"2015-12-12 12:29:55.347585",78,45
465,1,4,"2015-12-12 12:29:54.517929",78,46
466,1,1,"2015-12-12 12:29:58.120997",78,47
467,1,2,"2015-12-12 12:29:55.633416",78,48
468,1,4,"2015-12-12 12:29:59.483545",78,49
469,1,0,"2015-12-12 12:30:17.055166",79,44
470,1,3,"2015-12-12 12:30:17.010390",79,45
471,1,4,"2015-12-12 12:30:16.250181",79,46
472,1,1,"2015-12-12 12:30:16.164188",79,47
473,1,2,"2015-12-12 12:30:17.304225",79,48
474,1,2,"2015-12-12 12:30:18.484172",79,49
475,1,0,"2015-12-12 12:30:36.113123",80,44
476,1,4,"2015-12-12 12:30:35.736271",80,45
477,1,4,"2015-12-12 12:30:36.343090",80,46
478,1,0,"2015-12-12 12:30:35.440392",80,47
479,1,3,"2015-12-12 12:30:35.630804",80,48
480,1,4,"2015-12-12 12:30:39.988077",80,49
481,1,2,"2015-12-12 12:33:48.888388",81,50
482,1,4,"2015-12-12 12:33:49.252896",81,51
483,1,2,"2015-12-12 12:33:53.825566",81,52
484,1,2,"2015-12-12 12:33:52.637100",81,53
